Agency	Description	Uploaded on	Link	Value
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID GREEN TRANSPORTATION ...	2/12/2025		$24,444,591
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID GREEN ECONOMY PROGRAM...	2/12/2025		$24,438,129
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE WORKFORCE ACTIVITY WILL...	2/12/2025		$69,892,703
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS TASK OR...	2/12/2025		$23,546,259
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PREVENTION AND RESPONSE TO ...	2/12/2025		$43,896,584
US AGENCY FOR INTERNATIONAL DEVELOPMENT	BUILDING CLIMATE RESILIENCE...	2/12/2025		$48,277,629
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID/HONDURAS PUBLIC EFFEC...	2/12/2025		$34,789,881
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$41,501,749
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID LOCAL GOVERNANCE SOLU...	2/12/2025		$39,998,227
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID/OTI INSTITUTIONAL SUP...	2/12/2025		$82,444,446
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF PSE SCALE IS...	2/12/2025		$99,127,143
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS TASK OR...	2/12/2025		$18,517,809
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$47,233,829
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS CONTRACT WILL BE THE P...	2/12/2025		$24,269,471
US AGENCY FOR INTERNATIONAL DEVELOPMENT	VETTING ANALYST, WATCH OFFI...	2/12/2025		$24,135,184
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF GISR MENA IS...	2/12/2025		$95,490,240
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE GOOD GOVERNANCE ACTIVIT...	2/12/2025		$38,493,974
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FUTURE (FTF) BANGLADESH INC...	2/12/2025		$33,986,072
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE FUTURE TECHNOLOGIES ACT...	2/12/2025		$60,524,597
US AGENCY FOR INTERNATIONAL DEVELOPMENT	MESA S OBJECTIVE IS TO STRE...	2/12/2025		$144,785,130
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FINANCIAL SECTOR REFORM ACT...	2/12/2025		$93,300,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID REVENUE AND EXPENDITU...	2/12/2025		$51,370,754
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IRAQ TOGETHER (MA'N)	2/12/2025		$72,904,539
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS REQUISITION IS TO INIT...	2/12/2025		$70,212,510
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE TIF ACTIVITY IS A FIVE-...	2/12/2025		$44,239,309
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DG: SOLICIT, NEGOTIATE AND ...	2/12/2025		$48,445,638
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID WEST BANK & GAZA ARCH...	2/12/2025		$43,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID WEST BANK & GAZA ARCH...	2/12/2025		$57,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF USAID BIODIV...	2/12/2025		$32,931,367
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID/NEPAL EARLY GRADE LEA...	2/12/2025		$39,985,515
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PACIFIC ISLANDS CLIMATE FIN...	2/12/2025		$43,343,525
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE REGIONAL TRADE AND INVE...	2/12/2025		$25,999,733
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE NEXT GENERATION EARLY G...	2/12/2025		$74,988,869
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID|KENYA AND EAST AFRICA...	2/12/2025		$79,477,408
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE MEL TASK ORDER PROVIDES...	2/12/2025		$23,996,181
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE CONTRACTOR SHALL PROVID...	2/12/2025		$67,033,810
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EMPOWERING EAST AND CENTRAL...	2/12/2025		$88,993,687
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE AWARD WILL CONTRIBUTE T...	2/12/2025		$73,048,710
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE EMPOWER NIGERIA PROGRAM...	2/12/2025		$83,132,725
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW AFRICA INSTITUTIONAL AN...	2/12/2025		$33,337,049
US AGENCY FOR INTERNATIONAL DEVELOPMENT	M/MS REQUIRES TECHNICAL AND...	2/12/2025		$24,977,316
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FAST-FISCAL ACCOUNTABILITY ...	2/12/2025		$20,808,711
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS TASK OR...	2/12/2025		$33,657,540
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DEVELOPMENT AND DELIVERY OF...	2/12/2025		$13,437,806
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TO PROVIDE MONITORING, EVAL...	2/12/2025		$33,535,180
US AGENCY FOR INTERNATIONAL DEVELOPMENT	SCALING UP RENEWABLE ENERGY...	2/12/2025		$29,710,621
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IN ACCORDANCE WITH THE STAT...	2/12/2025		$24,999,998
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EEI/CCS TECHNICAL, OPERATIO...	2/12/2025		$20,629,534
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS ACTIVITY WOULD BE A CO...	2/12/2025		$25,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	UNITED STATES AGENCY FOR IN...	2/12/2025		$27,689,903
US AGENCY FOR INTERNATIONAL DEVELOPMENT	TASK ORDER UNDER THE PPL EV...	2/12/2025		$18,708,951
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE INCLUSIVE DEVELOPMENT A...	2/12/2025		$22,374,322
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE GOAL OF THE WTS BPA UND...	2/12/2025		$20,737,879
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FOLLOW-ON SERVIR SUPPORT SE...	2/12/2025		$12,499,477
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW AWARD CALLED ADVANCING ...	2/12/2025		$42,215,853
US AGENCY FOR INTERNATIONAL DEVELOPMENT	CAR ACCOUNTING SUPPORT SERV...	2/12/2025		$21,117,962
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EUROPE AND EURASIA INSTITUT...	2/12/2025		$24,277,436
US AGENCY FOR INTERNATIONAL DEVELOPMENT	GRAPHIC DESIGN SERVICES IN ...	2/12/2025		$281,622
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PROVIDES EDUCATION TECHNICA...	2/12/2025		$8,668,047
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$30,600,020
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS CO-CREATION AND CO-DES...	2/12/2025		$7,230,172
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FIVE YEAR SUBSCRIPTION FOR ...	2/12/2025		$120,671
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE INITIAL SUB OBLIGATION ...	2/12/2025		$18,541,219
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID RESILIENCE PLATFORM A...	2/12/2025		$19,993,910
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PPD : NEW AWARD - DATA, EVA...	2/12/2025		$19,635,380
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID LIBERIA ESSA SEEKS TO...	2/12/2025		$23,499,266
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DRG: THE PURPOSE OF THIS AC...	2/12/2025		$17,999,647
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$37,276,048
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$21,517,786
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THE USAID SA...	2/12/2025		$14,284,946
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE OBJECTIVE OF THIS CONTR...	2/12/2025		$14,999,471
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS TASK OR...	2/12/2025		$18,543,079
US AGENCY FOR INTERNATIONAL DEVELOPMENT	MESCLA 2.0 - MONITORING AND...	2/12/2025		$24,560,816
US AGENCY FOR INTERNATIONAL DEVELOPMENT	SERVICES REQUESTED INCLUDE ...	2/12/2025		$19,996,085
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID GOVERNANCE AND ACCOUN...	2/12/2025		$11,284,730
US AGENCY FOR INTERNATIONAL DEVELOPMENT	REQUEST FOR BPA CALL ORDER ...	2/12/2025		$65,295
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID INVESTMENT PROMOTION ...	2/12/2025		$15,992,643
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS ACTIVIT...	2/12/2025		$40,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE GOAL PURSUED IN THE USA...	2/12/2025		$24,999,016
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE HUMAN RIGHTS FOR PEACE ...	2/12/2025		$19,799,255
US AGENCY FOR INTERNATIONAL DEVELOPMENT	SUPPORT RELIEF GROUP RESPON...	2/12/2025		$291,237
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PSC AWARD TO SERVE AS A...	2/12/2025		$650,856
US AGENCY FOR INTERNATIONAL DEVELOPMENT	STRATEGIC PLANNING AND ACTI...	2/12/2025		$367,462
US AGENCY FOR INTERNATIONAL DEVELOPMENT	STRATEGIC PLANNING AND ACTI...	2/12/2025		$438,950
US AGENCY FOR INTERNATIONAL DEVELOPMENT	LANGUAGE TRAINING SERVICES ...	2/12/2025		$8,329,100
US AGENCY FOR INTERNATIONAL DEVELOPMENT	OTI M&E INITIAL PLACEHOLDER...	2/12/2025		$8,679,349
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS MOD IS ...	2/12/2025		$4,477,402
US AGENCY FOR INTERNATIONAL DEVELOPMENT	RELIEF SUPPLIER- BLANKET PU...	2/12/2025		$30,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IN PARTNERSHIP WITH PROSPER...	2/12/2025		$520,776,180
US AGENCY FOR INTERNATIONAL DEVELOPMENT	ASL INTERPRETING/CART/NOTET...	2/12/2025		$15,364,150
US AGENCY FOR INTERNATIONAL DEVELOPMENT	RICHT- BLANKET PURCHASE AGR...	2/12/2025		$30,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	CFO/CMP FINANCIAL SERVICES ...	2/12/2025		$24,891,807
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE SENIOR EVIDENCE UTILIZA...	2/12/2025		$1,036,450
US AGENCY FOR INTERNATIONAL DEVELOPMENT	"THE LINGUISTIC SERVICES BP...	2/12/2025		$1
US AGENCY FOR INTERNATIONAL DEVELOPMENT	"THE LINGUISTIC SERVICES BP...	2/12/2025		$1
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PLR/LER NEW RESEARCH AND AN...	2/12/2025		$3,150,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS AWARD W...	2/12/2025		$227,392
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE SENIOR E&L PROGRAM SPEC...	2/12/2025		$980,246
US AGENCY FOR INTERNATIONAL DEVELOPMENT	EPP PROGRAM SUPPORT SPECIAL...	2/12/2025		$914,218
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS CONTRAC...	2/12/2025		$5,423,054
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PPL/LER NEW IDIQS	2/12/2025		$655,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PPL/LER NEW EVALUATION IDIQS	2/12/2025		$655,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	NEW PPL/LER EVALUATION IDIQS	2/12/2025		$655,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PPL PROGRAM CYCLE AWARD	2/12/2025		$79,792,188
US AGENCY FOR INTERNATIONAL DEVELOPMENT	INITIAL REQ FOR STRATEGIC P...	2/12/2025		$108,266,786
US AGENCY FOR INTERNATIONAL DEVELOPMENT	USAID NETWORK ASSESSMENT	2/12/2025		$1,725,008
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS IS A NEW ACQUISITION F...	2/12/2025		$326,250
US AGENCY FOR INTERNATIONAL DEVELOPMENT	INFOBLOX TRINZIC SOFTWARE L...	2/12/2025		$169,995
US AGENCY FOR INTERNATIONAL DEVELOPMENT	WINZIP RENEWAL	2/12/2025		$20,472
US AGENCY FOR INTERNATIONAL DEVELOPMENT	DOCUMENTUM SOFTWARE LICENSE...	2/12/2025		$703,040
US AGENCY FOR INTERNATIONAL DEVELOPMENT	PART # VALIMAIL ENFORCE DES...	2/12/2025		$69,892
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS REQUEST...	2/12/2025		$12,208
US AGENCY FOR INTERNATIONAL DEVELOPMENT	JOE SANDBOX CLOUD PRO ACCOUNT	2/12/2025		$19,104
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS REQUEST...	2/12/2025		$59,866
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS PRE-OBLIGATION CHECKLI...	2/12/2025		$5,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS PRE-OBLIGATION CHECKLI...	2/12/2025		$5,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THIS PRE-OBLIGATION CHECKLI...	2/12/2025		$5,850,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	IDIQ # 1: NORTHERN REGION -...	2/12/2025		$28,000,000
US AGENCY FOR INTERNATIONAL DEVELOPMENT	FINANCIAL AUDITING SERVICES...	2/12/2025		$12,225
US AGENCY FOR INTERNATIONAL DEVELOPMENT	THE PURPOSE OF THIS REQUISI...	2/12/2025		$21,373
